University name,City,State,Nursing Degrees,Slug
Northern Illinois University,dekalb-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,northern-illinois-university
Luther College,decorah-ia,iowa,bachelor-of-science-nursing,luther-college
Regis University,denver-co,colorado,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,regis-university
Metropolitan State University of Denver,denver-co,colorado,bachelor-of-science-nursing,metropolitan-state-university-of-denver
Defiance College,defiance-oh,ohio,bachelor-of-science-nursing,defiance-college
Texas Woman's University,denton-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,texas-womans-university
Joyce University of Nursing and Health Sciences,draper-ut,utah,bachelor-of-science-nursing; master-of-science-nursing,joyce-university-of-nursing-and-health-sciences
Duke University,durham-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,duke-university
University of Detroit Mercy,detroit-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-detroit-mercy
Clarke University,dubuque-ia,iowa,bachelor-of-science-nursing; doctor-of-nursing,clarke-university
Grand View University,des-moines-ia,iowa,bachelor-of-science-nursing,grand-view-university
Mercy University,dobbs-ferry-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing,mercy-university
University of Dubuque,dubuque-ia,iowa,bachelor-of-science-nursing,university-of-dubuque
Mercy College of Health Sciences,des-moines-ia,iowa,bachelor-of-science-nursing; master-of-science-nursing,mercy-college-of-health-sciences
